Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Addison, Dylan",3,1,2,5,,,,6.0,,,,2.0,,,,1.0,3.0,,,2.0,,,78.0
21,"Akermanis, Jason",8,3,6,14,1,,,1.0,1.0,2.0,1.0,3.0,,2.0,,8.0,5.0,1.0,1.0,1.0,,1.0,92.0
5,"Boyd, Matthew",7,3,4,11,,,,2.0,,2.0,2.0,3.0,1.0,1.0,,5.0,7.0,,,2.0,,,86.0
17,"Cooney, Adam",9,2,4,13,,,,,3.0,1.0,3.0,6.0,1.0,4.0,,6.0,6.0,,,3.0,1.0,,97.0
4,"Cross, Daniel",9,5,9,18,,,1.0,5.0,2.0,2.0,3.0,1.0,3.0,1.0,,9.0,9.0,,,2.0,,,80.0
14,"Darcy, Luke",5,4,3,8,,,8.0,2.0,1.0,,,1.0,1.0,1.0,,2.0,5.0,1.0,,,,,59.0
10,"Eagleton, Nathan",15,3,5,20,,,,2.0,1.0,5.0,2.0,2.0,2.0,,,6.0,11.0,,,1.0,1.0,1.0,84.0
18,"Faulkner, Cameron",5,,1,6,,,,,1.0,1.0,1.0,3.0,,1.0,,4.0,2.0,,,,,,61.0
13,"Giansiracusa, Daniel",9,1,2,11,,,,5.0,3.0,3.0,1.0,4.0,1.0,1.0,,3.0,9.0,,,,,,72.0
9,"Gilbee, Lindsay",11,3,5,16,,,,2.0,6.0,1.0,,,2.0,,,6.0,9.0,1.0,,2.0,,,95.0
8,"Hahn, Mitch",7,2,2,9,1,2.0,,4.0,,3.0,1.0,1.0,,1.0,,7.0,4.0,,1.0,1.0,,3.0,76.0
25,"Hargrave, Ryan",5,3,10,15,,,,,4.0,1.0,1.0,5.0,,2.0,,7.0,7.0,1.0,,2.0,1.0,,100.0
19,"Higgins, Shaun",2,,3,5,,,,2.0,,3.0,,1.0,1.0,1.0,,3.0,2.0,,,,,,78.0
6,"Johnson, Brad",14,9,4,18,2,,,2.0,,7.0,1.0,3.0,,,,6.0,13.0,2.0,1.0,,,,95.0
36,"Lake, Brian",9,5,5,14,,,,2.0,4.0,1.0,,4.0,3.0,2.0,,9.0,7.0,,,6.0,7.0,,98.0
38,"Morris, Dale",7,2,4,11,,,,2.0,2.0,1.0,2.0,2.0,,,,6.0,6.0,,,5.0,,,91.0
15,"Power, Sam",3,1,8,11,,,,,1.0,2.0,3.0,,1.0,,,7.0,6.0,,,1.0,,,69.0
1,"Ray, Farren",6,4,1,7,1,,1.0,1.0,,1.0,1.0,,,,,2.0,5.0,1.0,1.0,,2.0,,74.0
30,"Robbins, Matthew",9,5,,9,3,3.0,,,,,,1.0,2.0,,,3.0,5.0,1.0,3.0,1.0,,,92.0
11,"Street, Peter",3,3,6,9,,,22.0,2.0,1.0,3.0,1.0,5.0,,3.0,,6.0,3.0,,,1.0,,,56.0
7,"West, Scott",4,,12,16,,,,7.0,3.0,1.0,2.0,3.0,1.0,,,10.0,6.0,,,,2.0,,86.0
37,"Wight, Cameron",3,1,3,6,,,1.0,3.0,1.0,,,1.0,2.0,1.0,,4.0,2.0,,,4.0,,,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,153,60,99,252,8,9.0,33.0,50.0,34.0,40.0,25.0,51.0,21.0,21.0,,120.0,132.0,8.0,7.0,34.0,14.0,5.0,
Opposition,Opposition,233,119,125,358,15,10.0,38.0,51.0,29.0,52.0,43.0,39.0,21.0,21.0,6.0,119.0,233.0,8.0,20.0,32.0,13.0,10.0,
