Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
12,"Bedford, Toby",22y 8d,13 (9-0-4 69.23%),5 (0.38),←,
17,"Bowey, Jake",19y 265d,19 (17-0-2 89.47%),2 (0.11),←,
10,"Brayshaw, Angus",26y 146d,131 (72-1-58 55.34%),46 (0.35),←,
50,"Brown, Ben",29y 196d,152 (84-1-67 55.59%),327 (2.15),22 (18-1-3 84.09%),40 (1.82)
38,"Brown, Mitch",31y 280d,77 (38-0-39 49.35%),72 (0.94),7 (4-0-3 57.14%),4 (0.57)
31,"Fritsch, Bayley",25y 180d,97 (58-1-38 60.31%),146 (1.51),←,
11,"Gawn, Max",30y 156d,171 (83-1-87 48.83%),86 (0.50),←,
4,"Harmes, James",26y 242d,132 (71-0-61 53.79%),73 (0.55),←,
29,"Hunt, Jayden",27y 62d,106 (57-1-48 54.25%),43 (0.41),←,
6,"Jackson, Luke",20y 248d,41 (32-1-8 79.27%),25 (0.61),←,
23,"Jordon, James",21y 166d,37 (30-1-6 82.43%),9 (0.24),←,
15,"Langdon, Ed",26y 123d,120 (63-1-56 52.92%),54 (0.45),52 (38-1-13 74.04%),21 (0.40)
8,"Lever, Jake",26y 91d,125 (81-1-43 65.20%),3 (0.02),69 (43-1-25 63.04%),
30,"Neal-Bullen, Alex",26y 146d,116 (68-1-47 59.05%),81 (0.70),←,
13,"Oliver, Clayton",24y 317d,136 (79-1-56 58.46%),41 (0.30),←,
5,"Petracca, Christian",26y 151d,139 (78-1-60 56.47%),132 (0.95),←,
35,"Petty, Harry",22y 204d,37 (21-1-15 58.11%),6 (0.16),←,
36,"Pickett, Kysaiah",21y 2d,50 (36-1-13 73.00%),62 (1.24),←,
3,"Salem, Christian",26y 324d,132 (67-1-64 51.14%),24 (0.18),←,
9,"Spargo, Charlie",22y 191d,71 (50-1-20 71.13%),47 (0.66),←,
32,"Sparrow, Tom",22y 4d,39 (28-1-10 73.08%),12 (0.31),←,
20,"Tomlinson, Adam",28y 298d,165 (79-3-83 48.79%),35 (0.21),25 (18-0-7 72.00%),
7,"Viney, Jack",28y 52d,160 (68-1-91 42.81%),45 (0.28),←,
Totals,Totals,25y 136d,2266 (1269-21-976 56.00%),1376 (0.61),,
C,"Goodwin, Simon",45y 160d,123 (71-1-51 58.13%),,122 (71-1-50 58.61%),
